ocorrencias,capital,demacro,interior,total,mes,ano
HOMICÍDIO DOLOSO,0,3,8,11,12,2018
HOMICÍDIO CULPOSO,0,0,0,0,12,2018
TENTATIVA DE HOMICÍDIO,2,4,27,33,12,2018
LESÃO CORPORAL DOLOSA,774,724,2842,4340,12,2018
MAUS TRATOS,3,7,20,30,12,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,149,159,526,834,12,2018
CONSTRANGIMENTO ILEGAL,0,0,6,6,12,2018
AMEAÇA,674,684,2953,4311,12,2018
INVASÃO DE DOMICÍLIO,2,2,24,28,12,2018
DANO,9,8,69,86,12,2018
ESTUPRO CONSUMADO,10,12,33,55,12,2018
ESTUPRO TENTADO,0,1,3,4,12,2018
ESTUPRO DE VULNERÁVEL,14,6,30,50,12,2018
OUTROS C/C/ DIGNIDADE SEXUAL,6,3,15,24,12,2018
HOMICÍDIO DOLOSO,1,1,4,6,11,2018
HOMICÍDIO CULPOSO,0,0,0,0,11,2018
TENTATIVA DE HOMICÍDIO,2,7,20,29,11,2018
LESÃO CORPORAL DOLOSA,750,741,2541,4032,11,2018
MAUS TRATOS,0,4,27,31,11,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,171,174,553,898,11,2018
CONSTRANGIMENTO ILEGAL,1,0,8,9,11,2018
AMEAÇA,701,827,3224,4752,11,2018
INVASÃO DE DOMICÍLIO,1,5,20,26,11,2018
DANO,4,15,58,77,11,2018
ESTUPRO CONSUMADO,5,15,17,37,11,2018
ESTUPRO TENTADO,0,1,2,3,11,2018
ESTUPRO DE VULNERÁVEL,15,5,37,57,11,2018
OUTROS C/C/ DIGNIDADE SEXUAL,7,4,10,21,11,2018
HOMICÍDIO DOLOSO,2,0,7,9,10,2018
HOMICÍDIO CULPOSO,1,0,0,1,10,2018
TENTATIVA DE HOMICÍDIO,1,5,22,28,10,2018
LESÃO CORPORAL DOLOSA,766,821,2863,4450,10,2018
MAUS TRATOS,3,7,12,22,10,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,213,207,614,1034,10,2018
CONSTRANGIMENTO ILEGAL,3,0,21,24,10,2018
AMEAÇA,903,913,3475,5291,10,2018
INVASÃO DE DOMICÍLIO,2,4,33,39,10,2018
DANO,7,13,61,81,10,2018
ESTUPRO CONSUMADO,33,14,37,84,10,2018
ESTUPRO TENTADO,0,0,4,4,10,2018
ESTUPRO DE VULNERÁVEL,1,5,37,43,10,2018
OUTROS C/C/ DIGNIDADE SEXUAL,5,7,9,21,10,2018
HOMICÍDIO DOLOSO,1,2,4,7,9,2018
HOMICÍDIO CULPOSO,0,0,0,0,9,2018
TENTATIVA DE HOMICÍDIO,1,8,21,30,9,2018
LESÃO CORPORAL DOLOSA,749,695,2475,3919,9,2018
MAUS TRATOS,3,5,15,23,9,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,193,186,551,930,9,2018
CONSTRANGIMENTO ILEGAL,0,1,17,18,9,2018
AMEAÇA,764,739,3037,4540,9,2018
INVASÃO DE DOMICÍLIO,2,4,22,28,9,2018
DANO,8,10,51,69,9,2018
ESTUPRO CONSUMADO,14,8,26,48,9,2018
ESTUPRO TENTADO,0,0,1,1,9,2018
ESTUPRO DE VULNERÁVEL,10,8,27,45,9,2018
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,3,5,9,2018
HOMICÍDIO DOLOSO,1,1,6,8,8,2018
HOMICÍDIO CULPOSO,1,0,0,1,8,2018
TENTATIVA DE HOMICÍDIO,4,3,16,23,8,2018
LESÃO CORPORAL DOLOSA,715,741,2455,3911,8,2018
MAUS TRATOS,2,9,38,49,8,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,196,183,621,1000,8,2018
CONSTRANGIMENTO ILEGAL,0,2,7,9,8,2018
AMEAÇA,881,1007,3248,5136,8,2018
INVASÃO DE DOMICÍLIO,1,3,21,25,8,2018
DANO,9,16,47,72,8,2018
ESTUPRO CONSUMADO,17,9,34,60,8,2018
ESTUPRO TENTADO,0,0,3,3,8,2018
ESTUPRO DE VULNERÁVEL,10,6,44,60,8,2018
OUTROS C/C/ DIGNIDADE SEXUAL,2,1,0,3,8,2018
HOMICÍDIO DOLOSO,0,0,7,7,7,2018
HOMICÍDIO CULPOSO,1,0,0,1,7,2018
TENTATIVA DE HOMICÍDIO,4,5,15,24,7,2018
LESÃO CORPORAL DOLOSA,712,774,2433,3919,7,2018
MAUS TRATOS,4,3,16,23,7,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,196,181,523,900,7,2018
CONSTRANGIMENTO ILEGAL,2,1,4,7,7,2018
AMEAÇA,689,719,2894,4302,7,2018
INVASÃO DE DOMICÍLIO,0,5,14,19,7,2018
DANO,7,9,59,75,7,2018
ESTUPRO CONSUMADO,3,9,29,41,7,2018
ESTUPRO TENTADO,0,0,2,2,7,2018
ESTUPRO DE VULNERÁVEL,9,8,17,34,7,2018
OUTROS C/C/ DIGNIDADE SEXUAL,1,2,1,4,7,2018
HOMICÍDIO DOLOSO,0,1,3,4,6,2018
HOMICÍDIO CULPOSO,0,0,0,0,6,2018
